Time - Filtered	Amplitude - Filtered
44:48,9	2,78559
44:48,9	2,78303
44:48,9	2,7821
44:48,9	2,77803
44:48,9	2,77663
44:48,9	2,78099
44:49,0	2,78047
44:49,0	2,78646
44:49,0	2,78512
44:49,0	2,78971
44:49,0	2,78041
44:49,0	2,77024
44:49,0	2,76728
44:49,0	2,76571
44:49,1	2,75873
44:49,1	2,75943
44:49,1	2,76582
44:49,1	2,77396
44:49,1	2,76943
44:49,1	2,77669
44:49,1	2,7832
44:49,2	2,78419
44:49,2	2,7875
44:49,2	2,78966
44:49,2	2,79407
44:49,2	2,78698
44:49,2	2,78768
44:49,2	2,78826
44:49,2	2,78373
44:49,3	2,78128
44:49,3	2,78134
44:49,3	2,78594
44:49,3	2,78954
44:49,3	2,78809
44:49,3	2,77826
44:49,3	2,78012
44:49,3	2,77966
44:49,4	2,7832
44:49,4	2,78192
44:49,4	2,78117
44:49,4	2,78378
44:49,4	2,78413
44:49,4	2,77361
44:49,4	2,77536
44:49,5	2,77245
44:49,5	2,77541
44:49,5	2,77698
44:49,5	2,77908
44:49,5	2,78291
44:49,5	2,79588
44:49,5	2,79733
44:49,5	2,79454
44:49,6	2,78797
44:49,6	2,79099
44:49,6	2,78442
44:49,6	2,78065
44:49,6	2,77722
44:49,6	2,78413
44:49,6	2,78413
44:49,6	2,79122
44:49,7	2,7782
44:49,7	2,78431
44:49,7	2,78564
44:49,7	2,78756
44:49,7	2,79041
44:49,7	2,79454
44:49,7	2,79082
44:49,8	2,78995
44:49,8	2,78535
44:49,8	2,78181
44:49,8	2,7757
44:49,8	2,78471
44:49,8	2,78105
44:49,8	2,78541
44:49,9	2,77942
44:49,9	2,79047
44:49,9	2,78809
44:49,9	2,78576
44:49,9	2,78733
44:49,9	2,78832
44:49,9	2,78448
44:49,9	2,78704
44:50,0	2,78913
44:50,0	2,78803
44:50,0	2,78582
44:50,0	2,78873
44:50,0	2,79082
44:50,0	2,79262
44:50,0	2,78989
44:50,0	2,79535
44:50,1	2,79901
44:50,1	2,79512
44:50,1	2,7921
44:50,1	2,78442
44:50,1	2,78646
44:50,1	2,78181
44:50,1	2,77948
44:50,1	2,77477
44:50,2	2,77913
44:50,2	2,7814
44:50,2	2,7875
44:50,2	2,78437
44:50,2	2,79291
44:50,2	2,7914
44:50,2	2,78983
44:50,2	2,79163
44:50,3	2,78512
44:50,3	2,7878
44:50,3	2,78774
44:50,3	2,78913
44:50,3	2,79018
44:50,3	2,79402
44:50,3	2,79518
44:50,3	2,79925
44:50,4	2,80029
44:50,4	2,79553
44:50,4	2,79279
44:50,4	2,79378
44:50,4	2,79791
44:50,4	2,79599
44:50,4	2,79279
44:50,4	2,7871
44:50,4	2,79111
44:50,5	2,79279
44:50,5	2,78838
44:50,5	2,78948
44:50,5	2,79849
44:50,5	2,80378
44:50,5	2,80157
44:50,5	2,79803
44:50,5	2,79965
44:50,6	2,80273
44:50,6	2,79309
44:50,6	2,79343
44:50,6	2,78733
44:50,6	2,78785
44:50,6	2,79332
44:50,6	2,79768
44:50,6	2,78983
44:50,7	2,78832
44:50,7	2,79349
44:50,7	2,79291
44:50,7	2,7864
44:50,7	2,78884
44:50,7	2,79291
44:50,7	2,78855
44:50,7	2,78483
44:50,8	2,7871
44:50,8	2,7925
44:50,8	2,78942
44:50,8	2,78803
44:50,8	2,79372
44:50,8	2,79582
44:50,8	2,795
44:50,8	2,79215
44:50,9	2,79314
44:50,9	2,79367
44:50,9	2,7939
44:50,9	2,79558
44:50,9	2,78977
44:50,9	2,79384
44:50,9	2,79471
44:50,9	2,80082
44:51,0	2,79983
44:51,0	2,79681
44:51,0	2,79721
44:51,0	2,79634
44:51,0	2,79617
44:51,0	2,79936
44:51,0	2,8014
44:51,0	2,79878
44:51,1	2,80029
44:51,1	2,80384
44:51,1	2,80401
44:51,1	2,79355
44:51,1	2,79169
44:51,1	2,7957
44:51,1	2,80169
44:51,1	2,79622
44:51,1	2,78838
44:51,2	2,79198
44:51,2	2,79948
44:51,2	2,79448
44:51,2	2,79774
44:51,2	2,80035
44:51,2	2,80268
44:51,2	2,80023
44:51,2	2,79547
44:51,3	2,78896
44:51,3	2,79454
44:51,3	2,80314
44:51,3	2,80419
44:51,3	2,80012
44:51,3	2,80582
44:51,3	2,80308
44:51,3	2,79913
44:51,4	2,79367
44:51,4	2,79471
44:51,4	2,79134
44:51,4	2,79954
44:51,4	2,80082
44:51,4	2,80157
44:51,4	2,79657
44:51,4	2,79814
44:51,5	2,80093
44:51,5	2,80192
44:51,5	2,79646
44:51,5	2,79576
44:51,5	2,79221
44:51,5	2,79268
