Time - Filtered	Amplitude - Filtered
01:49,6	3,14877
01:49,7	3,14476
01:49,7	3,14337
01:49,7	3,1436
01:49,7	3,14261
01:49,7	3,14035
01:49,7	3,13924
01:49,7	3,13901
01:49,7	3,13604
01:49,7	3,12674
01:49,7	3,12552
01:49,8	3,12419
01:49,8	3,12174
01:49,8	3,12
01:49,8	3,11837
01:49,8	3,11715
01:49,8	3,11704
01:49,8	3,11901
01:49,8	3,11954
01:49,8	3,1189
01:49,8	3,11878
01:49,9	3,11837
01:49,9	3,12209
01:49,9	3,12134
01:49,9	3,12145
01:49,9	3,11814
01:49,9	3,12023
01:49,9	3,11936
01:49,9	3,11913
01:50,0	3,12372
01:50,0	3,13052
01:50,0	3,12721
01:50,0	3,12657
01:50,0	3,12471
01:50,0	3,12215
01:50,0	3,1193
01:50,0	3,11616
01:50,0	3,11204
01:50,0	3,10849
01:50,1	3,10512
01:50,1	3,10152
01:50,1	3,09762
01:50,1	3,09378
01:50,1	3,08983
01:50,1	3,08739
01:50,1	3,08257
01:50,1	3,08169
01:50,1	3,0728
01:50,1	3,07071
01:50,2	3,0667
01:50,2	3,06065
01:50,2	3,0592
01:50,2	3,05472
01:50,2	3,05339
01:50,2	3,05385
01:50,2	3,05461
01:50,2	3,05577
01:50,2	3,05716
01:50,2	3,05833
01:50,3	3,06019
01:50,3	3,06181
01:50,3	3,05827
01:50,3	3,05868
01:50,3	3,06228
01:50,3	3,06303
01:50,3	3,06315
01:50,3	3,06391
01:50,3	3,06478
01:50,3	3,06914
01:50,4	3,06925
01:50,4	3,07042
01:50,4	3,07065
01:50,4	3,07013
01:50,4	3,07175
01:50,4	3,07123
01:50,4	3,07141
01:50,4	3,07152
01:50,4	3,06867
01:50,4	3,0703
01:50,5	3,07187
01:50,5	3,071
01:50,5	3,071
01:50,5	3,07571
01:50,5	3,07361
01:50,5	3,07402
01:50,5	3,07699
01:50,5	3,08059
01:50,5	3,08408
01:50,5	3,08803
01:50,6	3,0921
01:50,6	3,09547
01:50,6	3,09844
01:50,6	3,10489
01:50,6	3,10849
01:50,6	3,11553
