Time - Filtered	Amplitude - Filtered
27:01,1	3,08198
27:01,1	3,08419
27:01,1	3,08605
27:01,1	3,09245
27:01,1	3,09256
27:01,1	3,10192
27:01,1	3,1025
27:01,1	3,09855
27:01,1	3,09785
27:01,1	3,09117
27:01,1	3,08972
27:01,2	3,09204
27:01,2	3,09094
27:01,2	3,08943
27:01,2	3,09402
27:01,2	3,08989
27:01,2	3,09041
27:01,2	3,08693
27:01,2	3,0882
27:01,2	3,0896
27:01,2	3,0921
27:01,2	3,08576
27:01,3	3,08739
27:01,3	3,09239
27:01,3	3,08943
27:01,3	3,0928
27:01,3	3,09814
27:01,3	3,10053
27:01,3	3,09983
27:01,3	3,10059
27:01,3	3,09907
27:01,3	3,09756
27:01,3	3,09867
27:01,4	3,09187
27:01,4	3,09123
27:01,4	3,09338
27:01,4	3,09285
27:01,4	3,08669
27:01,4	3,08541
27:01,4	3,0871
27:01,4	3,08791
27:01,4	3,08722
27:01,4	3,09594
27:01,4	3,09739
27:01,5	3,09535
27:01,5	3,09158
27:01,5	3,09181
27:01,5	3,09524
27:01,5	3,09175
27:01,5	3,09454
27:01,5	3,09756
27:01,5	3,09099
27:01,5	3,09094
27:01,5	3,09315
27:01,5	3,08948
27:01,6	3,09117
27:01,6	3,09977
27:01,6	3,09966
27:01,6	3,09611
27:01,6	3,09867
27:01,6	3,10088
27:01,6	3,09867
27:01,6	3,1
27:01,6	3,09477
27:01,6	3,09466
27:01,6	3,09617
27:01,7	3,08855
27:01,7	3,08948
27:01,7	3,09251
27:01,7	3,09867
27:01,7	3,09861
27:01,7	3,10378
27:01,7	3,10686
27:01,7	3,09873
27:01,7	3,09437
27:01,7	3,08797
27:01,7	3,09024
27:01,8	3,0857
27:01,8	3,08681
27:01,8	3,09012
27:01,8	3,09553
27:01,8	3,09512
27:01,8	3,09373
27:01,8	3,09849
27:01,8	3,10123
27:01,8	3,10332
27:01,8	3,1057
27:01,8	3,10465
27:01,9	3,10605
27:01,9	3,10297
27:01,9	3,09623
27:01,9	3,09971
27:01,9	3,09937
27:01,9	3,09652
27:01,9	3,08966
27:01,9	3,0889
27:01,9	3,08908
27:01,9	3,08693
27:01,9	3,08733
27:01,9	3,09408
27:02,0	3,0953
27:02,0	3,0964
27:02,0	3,09204
27:02,0	3,09111
27:02,0	3,09047
27:02,0	3,08844
27:02,0	3,08367
27:02,0	3,08646
27:02,0	3,09012
27:02,0	3,09437
27:02,0	3,09547
27:02,1	3,10076
27:02,1	3,10309
27:02,1	3,10634
27:02,1	3,10384
27:02,1	3,10239
27:02,1	3,10407
27:02,1	3,09623
27:02,1	3,09373
27:02,1	3,09082
27:02,1	3,09256
27:02,1	3,0885
27:02,2	3,08774
27:02,2	3,08943
27:02,2	3,09326
27:02,2	3,0914
27:02,2	3,09692
27:02,2	3,0978
27:02,2	3,09791
27:02,2	3,09855
27:02,2	3,10105
27:02,2	3,10262
27:02,2	3,09919
27:02,3	3,10181
27:02,3	3,09553
27:02,3	3,0939
27:02,3	3,10012
27:02,3	3,09617
27:02,3	3,09785
27:02,3	3,09721
27:02,3	3,08629
27:02,3	3,08158
27:02,3	3,0878
27:02,3	3,08786
27:02,4	3,0853
27:02,4	3,09024
27:02,4	3,0921
27:02,4	3,09012
27:02,4	3,09227
27:02,4	3,0864
27:02,4	3,0889
27:02,4	3,09163
27:02,4	3,09425
27:02,4	3,09756
27:02,4	3,10035
27:02,5	3,11378
27:02,5	3,1082
27:02,5	3,10814
27:02,5	3,10855
27:02,5	3,1046
27:02,5	3,10024
27:02,5	3,09832
27:02,5	3,09826
27:02,5	3,09907
27:02,5	3,09623
27:02,5	3,09541
27:02,6	3,09756
27:02,6	3,09344
27:02,6	3,09448
27:02,6	3,09878
27:02,6	3,09768
27:02,6	3,09966
27:02,6	3,10192
27:02,6	3,10192
27:02,6	3,10006
27:02,6	3,10117
27:02,6	3,09797
27:02,7	3,09599
27:02,7	3,09355
27:02,7	3,09315
27:02,7	3,09687
27:02,7	3,09233
27:02,7	3,0971
27:02,7	3,09721
27:02,7	3,09954
27:02,7	3,10117
27:02,7	3,10349
27:02,7	3,1057
27:02,8	3,10495
27:02,8	3,10157
27:02,8	3,09867
27:02,8	3,10064
27:02,8	3,09995
27:02,8	3,1003
27:02,8	3,09698
27:02,8	3,09931
27:02,8	3,0928
27:02,8	3,09791
27:02,8	3,09687
27:02,9	3,09948
27:02,9	3,10471
27:02,9	3,10733
27:02,9	3,10675
27:02,9	3,10826
27:02,9	3,10524
27:02,9	3,09576
27:02,9	3,08762
27:02,9	3,08908
27:02,9	3,08896
27:02,9	3,09762
27:03,0	3,10535
27:03,0	3,11262
27:03,0	3,11669
27:03,0	3,115
27:03,0	3,11041
27:03,0	3,10471
27:03,0	3,10436
27:03,0	3,10041
27:03,0	3,1014
27:03,0	3,09809
27:03,0	3,10047
27:03,1	3,1007
27:03,1	3,09919
27:03,1	3,09948
27:03,1	3,10268
27:03,1	3,10239
27:03,1	3,10099
27:03,1	3,09774
27:03,1	3,10006
27:03,1	3,09547
27:03,1	3,09355
27:03,1	3,09489
27:03,2	3,09751
27:03,2	3,09489
27:03,2	3,10221
27:03,2	3,1025
27:03,2	3,10797
27:03,2	3,10733
27:03,2	3,1039
27:03,2	3,10111
27:03,2	3,09448
27:03,2	3,09483
27:03,2	3,09553
27:03,3	3,09344
27:03,3	3,09623
27:03,3	3,10256
27:03,3	3,10396
27:03,3	3,0982
27:03,3	3,09495
27:03,3	3,09506
27:03,3	3,09495
27:03,3	3,09361
27:03,3	3,09803
27:03,3	3,10367
27:03,4	3,10407
27:03,4	3,10553
